Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, -1.0587911840678754e-22, 0.0, 3.308722450212111e-24, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, 0.0, 2.0679515313825692e-25, 0.0, 5.293955920339377e-23, 8.271806125530277e-25, -1.0587911840678754e-22, -2.0679515313825692e-25, 5.293955920339377e-23, 0.0, 0.0, 2.117582368135751e-22, 4.1359030627651384e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.5849394142282115e-26, 0.0, 0.0, 4.1359030627651384e-25, 5.293955920339377e-23, -1.0587911840678754e-22]"
A1118RD3AJD5KH,"[-4.235164736271502e-22, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 1.6543612251060553e-24, -1.6940658945086007e-21, 0.0, -1.0587911840678754e-22, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 1.0587911840678754e-22, 0.0, -2.117582368135751e-22, 8.271806125530277e-25, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 5.293955920339377e-23, -6.617444900424222e-24, 0.0, 2.117582368135751e-22, 0.0, 6.617444900424222e-24, 5.169878828456423e-26, -2.117582368135751e-22, 0.0, 0.0, 3.2311742677852644e-27, -5.293955920339377e-23, 1.3234889800848443e-23, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 3.308722450212111e-24, 0.0, -4.1359030627651384e-25, -5.169878828456423e-26, -1.3234889800848443e-23, 0.0, 0.0, 5.293955920339377e-23, 0.0, -1.2924697071141057e-26, 1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 5.293955920339377e-23, 0.0]"
A11L1TI883AOSV,"[1.6543612251060553e-24, 1.0339757656912846e-25, -1.3234889800848443e-23, -2.117582368135751e-22, 1.6940658945086007e-21, -1.3234889800848443e-23, 0.0, 0.0, 1.3234889800848443e-23, -8.470329472543003e-22, 8.470329472543003e-22, -2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0, -1.0339757656912846e-25, -1.3234889800848443e-23, 0.0, 0.0, -2.117582368135751e-22, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, -6.617444900424222e-24, 6.617444900424222e-24, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 3.308722450212111e-24, 4.235164736271502e-22, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -2.117582368135751e-22, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -2.6469779601696886e-23, -1.0339757656912846e-25, 0.0, 2.117582368135751e-22, 0.0, -1.6543612251060553e-24, 2.6469779601696886e-23, -2.5849394142282115e-26, 0.0, -3.308722450212111e-24, 1.0339757656912846e-25, 8.271806125530277e-25, 0.0, 2.6469779601696886e-23, -8.077935669463161e-28, 2.6469779601696886e-23, -3.308722450212111e-24, 0.0, 0.0, 3.308722450212111e-24, 2.6469779601696886e-23, 0.0, 8.271806125530277e-25, 0.0, 4.235164736271502e-22, 0.0, -1.3234889800848443e-23, -1.3234889800848443e-23, -6.617444900424222e-24, -2.0679515313825692e-25, 2.6469779601696886e-23, -1.3234889800848443e-23]"
A11QGZ39A7ZF0X,"[6.776263578034403e-21, 0.0, 0.0, 1.6940658945086007e-21, 2.168404344971009e-19, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 1.0587911840678754e-22, 0.0, 2.6469779601696886e-23, -5.293955920339377e-23, 0.0, 0.0, -6.617444900424222e-24, 1.3234889800848443e-23, -5.293955920339377e-23, 2.6469779601696886e-23, 4.1359030627651384e-25, 0.0, -2.6469779601696886e-23, 0.0, 1.0587911840678754e-22, 0.0, 1.6543612251060553e-24, 1.0587911840678754e-22, 0.0, -8.271806125530277e-25, 2.117582368135751e-22, 0.0, 1.3234889800848443e-23, -2.6469779601696886e-23, 0.0, 0.0, 1.3234889800848443e-23, -5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, -2.117582368135751e-22, 1.3234889800848443e-23, 0.0, -2.117582368135751e-22, 0.0, 3.308722450212111e-24, 1.3234889800848443e-23, 2.6469779601696886e-23, 0.0]"
A125TMC44CJBKK,"[-1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, -5.421010862427522e-20, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, -2.710505431213761e-20, 1.3552527156068805e-20, 0.0, 6.776263578034403e-21, 2.117582368135751e-22, 0.0, 2.117582368135751e-22, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, -3.308722450212111e-24, 5.169878828456423e-26, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -1.3234889800848443e-23, -2.117582368135751e-22, 0.0, 0.0, 0.0, 2.6469779601696886e-23, -3.308722450212111e-24, 5.293955920339377e-23, 0.0, 0.0, 0.0, -2.117582368135751e-22, -6.617444900424222e-24, 0.0, 0.0, -5.293955920339377e-23, 2.6469779601696886e-23, 0.0, -1.6543612251060553e-24, 4.963083675318166e-24, -6.617444900424222e-24]"
A12B5Y225ADJWE,"[0.0, 0.0, 0.0, 1.0587911840678754e-22, -2.117582368135751e-22, 6.617444900424222e-24, 6.776263578034403e-21, 5.421010862427522e-20, 0.0, 0.0, -6.776263578034403e-21, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 1.0587911840678754e-22, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, -5.293955920339377e-23, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, 2.6469779601696886e-23, -2.117582368135751e-22, -2.6469779601696886e-23, -5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, 1.0587911840678754e-22, 0.0, 1.6543612251060553e-24, -2.6469779601696886e-23, 0.0, 1.3234889800848443e-23, 0.0, 0.0, -1.0587911840678754e-22, 0.0, -3.308722450212111e-24, 0.0, 0.0, 6.617444900424222e-24, 1.3234889800848443e-23, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 1.0587911840678754e-22, 8.271806125530277e-25, -1.0587911840678754e-22, -3.308722450212111e-24, 0.0, 3.308722450212111e-24, 8.271806125530277e-25, 0.0, 2.0679515313825692e-25, -4.235164736271502e-22, 0.0, 1.0339757656912846e-25, 1.3234889800848443e-23]"
A12X146LZM6KM0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, -4.235164736271502e-22, 0.0, -3.308722450212111e-24, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 0.0, 2.6469779601696886e-23, 0.0, -5.293955920339377e-23, 0.0, 2.117582368135751e-22, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 1.0587911840678754e-22, 0.0, 0.0, 1.3234889800848443e-23, -2.117582368135751e-22, 1.3234889800848443e-23, 8.271806125530277e-25, 0.0, 3.308722450212111e-24, -1.3234889800848443e-23, 1.2924697071141057e-26, -1.3234889800848443e-23, -5.293955920339377e-23, 5.293955920339377e-23, 6.617444900424222e-24, 1.3234889800848443e-23, 5.293955920339377e-23, 0.0, 6.617444900424222e-24, -5.293955920339377e-23, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0]"
A14SJT4M0BP298,"[0.0, 6.617444900424222e-24, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 3.3881317890172014e-21, -1.0587911840678754e-22, -2.117582368135751e-22, 0.0, 4.235164736271502e-22, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 1.0587911840678754e-22, -1.0587911840678754e-22, 0.0, 1.3234889800848443e-23, 5.293955920339377e-23, 0.0, 0.0, -1.6543612251060553e-24, 1.6543612251060553e-24, -5.293955920339377e-23, 5.293955920339377e-23, 2.6469779601696886e-23, -1.0587911840678754e-22, 2.5849394142282115e-26, -2.6469779601696886e-23, 0.0, -2.6469779601696886e-23, 1.0587911840678754e-22, 2.6469779601696886e-23, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, -2.0679515313825692e-25, 4.1359030627651384e-25, 0.0, 5.293955920339377e-23, 1.0339757656912846e-25, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 2.0679515313825692e-25]"
A14Y0FPHPBKBAF,"[0.0, -3.3881317890172014e-21, 2.6469779601696886e-23, 0.0, 1.0842021724855044e-19, 0.0, 0.0, -5.293955920339377e-23, 1.6940658945086007e-21, 4.235164736271502e-22, -1.0842021724855044e-19, 0.0, 2.710505431213761e-20, -2.710505431213761e-20, 0.0, 1.6940658945086007e-21, 0.0, 1.0842021724855044e-19, -2.524354896707238e-29, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, -2.710505431213761e-20, 2.710505431213761e-20, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 3.308722450212111e-24, -8.271806125530277e-25, 0.0, -4.1359030627651384e-25, 0.0, 8.470329472543003e-22, 0.0, 1.0587911840678754e-22, -8.271806125530277e-25, 2.117582368135751e-22, 3.308722450212111e-24, 0.0, 0.0, 0.0, 8.271806125530277e-25, 2.6469779601696886e-23, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 6.617444900424222e-24, -2.6469779601696886e-23, -1.3234889800848443e-23, 2.6469779601696886e-23, 1.0587911840678754e-22, 0.0, -2.117582368135751e-22, 0.0, -6.617444900424222e-24, 0.0]"
A14YENXHLKG9WL,"[-1.3552527156068805e-20, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 2.710505431213761e-20, 0.0, -8.271806125530277e-25, 0.0, 0.0, 2.710505431213761e-20, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 3.3881317890172014e-21, 3.308722450212111e-24, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, -4.235164736271502e-22, -5.293955920339377e-23, 0.0, -1.3234889800848443e-23, 5.293955920339377e-23, 1.0587911840678754e-22, 0.0, -8.271806125530277e-25, 0.0, 0.0, 0.0, -2.117582368135751e-22, 2.6469779601696886e-23, -5.169878828456423e-26, 3.308722450212111e-24, 2.117582368135751e-22, 0.0, 0.0, 0.0, 3.308722450212111e-24, 1.6543612251060553e-24, 0.0, -6.617444900424222e-24, -6.617444900424222e-24, 0.0, -6.617444900424222e-24, 0.0, -1.6543612251060553e-24, 0.0, 3.308722450212111e-24, 0.0, 0.0, 5.293955920339377e-23, 1.3234889800848443e-23, 0.0, 5.293955920339377e-23, 0.0]"
A154MPHVRSZVQN,"[0.0, -8.470329472543003e-22, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -2.117582368135751e-22, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, -8.271806125530277e-25, 5.293955920339377e-23, 1.6543612251060553e-24, -2.6469779601696886e-23, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, -8.271806125530277e-25, 2.6469779601696886e-23, 6.617444900424222e-24, 5.293955920339377e-23, 0.0, 0.0, 1.3234889800848443e-23, -1.3234889800848443e-23, -2.6469779601696886e-23, 0.0, -1.0587911840678754e-22, 0.0, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, 0.0, -5.293955920339377e-23, 5.293955920339377e-23, -1.6543612251060553e-24, 0.0, -1.3234889800848443e-23, 0.0, 6.617444900424222e-24, 0.0, 0.0, 0.0]"
A15T9G38F589KM,"[0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, -1.6940658945086007e-21, -1.6940658945086007e-21, 0.0, 0.0, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 3.3881317890172014e-21, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -2.6469779601696886e-23, -2.0679515313825692e-25, -3.308722450212111e-24, -1.0587911840678754e-22, 2.117582368135751e-22, 0.0, -4.1359030627651384e-25, 0.0, -2.6469779601696886e-23, -3.308722450212111e-24, 2.0679515313825692e-25, 0.0, 0.0, 0.0, 1.6543612251060553e-24, -2.6469779601696886e-23, 0.0, -1.0339757656912846e-25, 6.617444900424222e-24, 6.310887241768095e-30, 0.0, 0.0, 0.0, -6.617444900424222e-24, 1.0339757656912846e-25, 5.169878828456423e-26, 0.0, 0.0, -5.293955920339377e-23, 1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, -4.0389678347315804e-28, -2.117582368135751e-22, -2.0679515313825692e-25, 0.0, 1.0587911840678754e-22, 2.0679515313825692e-25, 3.308722450212111e-24]"
A15TMUEDCVMOBF,"[0.0, 3.3881317890172014e-21, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, 0.0, 0.0, 0.0, -2.117582368135751e-22, -3.3881317890172014e-21, -1.3552527156068805e-20, 0.0, 1.0587911840678754e-22, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 6.617444900424222e-24, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, 0.0, 3.3881317890172014e-21, 4.235164736271502e-22, 0.0, 6.776263578034403e-21, -5.293955920339377e-23, 0.0, -4.1359030627651384e-25, 0.0, 3.308722450212111e-24, 0.0, 0.0, -1.3234889800848443e-23, 6.617444900424222e-24, 1.6543612251060553e-24, 0.0, -2.6469779601696886e-23, -1.3234889800848443e-23, -6.617444900424222e-24, 6.617444900424222e-24, -1.0339757656912846e-25, 0.0, -2.117582368135751e-22, 0.0, -1.0587911840678754e-22, -5.293955920339377e-23, 5.293955920339377e-23, 0.0, 1.3234889800848443e-23, 0.0, 1.0587911840678754e-22, 0.0, -2.6469779601696886e-23, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, -5.293955920339377e-23, -2.6469779601696886e-23, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, -3.308722450212111e-24, -2.0679515313825692e-25]"
A15ZAILX1XGI0A,"[-1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 3.3881317890172014e-21, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, -1.3552527156068805e-20, 0.0, 0.0, -2.710505431213761e-20, -3.3881317890172014e-21, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, -8.470329472543003e-22, 6.776263578034403e-21, 0.0, -1.3552527156068805e-20, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, 0.0, 0.0, 0.0, 6.617444900424222e-24, 5.293955920339377e-23, 1.3234889800848443e-23, 0.0, 1.3234889800848443e-23, 8.271806125530277e-25, -2.6469779601696886e-23, -5.293955920339377e-23, 0.0, 1.0587911840678754e-22, -5.293955920339377e-23, -2.0679515313825692e-25, -1.6543612251060553e-24, 1.0587911840678754e-22, 0.0, 0.0, -1.0587911840678754e-22, -1.3234889800848443e-23, -1.6543612251060553e-24, 2.6469779601696886e-23, 4.235164736271502e-22, 1.3234889800848443e-23, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -2.6469779601696886e-23, 0.0, 3.308722450212111e-24, 0.0, -2.117582368135751e-22, -5.293955920339377e-23, 0.0]"
