Key,Array
B0000530HU,"[4.6335129737854, 4.758524417877197, 4.897089004516602, 5.189305305480957, 4.7958784103393555, 2.1929779052734375, 5.017755031585693, 5.1763224601745605, 4.154008865356445, 4.687279224395752, 2.2083234786987305, 4.92221736907959, 5.246350288391113, 4.961274147033691, 5.246350288391113, 5.102958679199219, 5.043601036071777, 3.1705288887023926, 5.041238307952881, 2.375349998474121, 5.596523761749268, 4.654604911804199, 4.7925262451171875, 2.4516830444335938, 4.815005779266357, 1.832920789718628, 2.5984983444213867, 5.310969352722168, 5.011085510253906, 4.825262546539307, 4.834225654602051, 4.962417125701904, 2.6138439178466797, 0.015345606952905655, 4.8406081199646, 4.382006645202637, 3.354804039001465, 4.3094000816345215, 5.04762077331543, 4.620975971221924, 0.03346805657935656, 0.06414468763104895, 0.09875781946626205, 0.12175084717373447, 0.14741919002512158, 0.10473434965294713, 0.08286416286600287, 0.12030746847969659, 0.015576757749959556, 0.09835287111179764, 0.14444115542551964, 0.10767094447170746, 0.10199967886019422, 0.10157763938878403, 0.0315061945222062, 0.10015795431767889, 0.13731472811735887, 0.015501554552757152, 0.06738879833978971, 0.09220813922522982, 0.024926541247301447, 0.09100814126850026, 0.0997956315451409, 0.10091919188900213, 0.06469884446720495, 0.07926590518823014, 0.1317588159139232, 0.07888518070198877, 0.03736712202022378, 0.10150603723183522, 0.05139650139089423, 0.056140502586428186, 0.08246425798810389, 0.09623245358110886, 0.022134323531218917, 0.06776365597944634, 0.01734103125548706, 0.07561714515470756, 0.06915833526899248, 0.15011482114274505]"
B00006L9LC,"[535.8197021484375, 489.7288818359375, 330.3805236816406, 275.5706481933594, 548.450439453125, 74.7612075805664, 573.1900024414062, 240.4518280029297, 146.73426818847656, 476.61688232421875, 165.46475219726562, 423.6966247558594, 391.20050048828125, 512.9038696289062, 497.2174987792969, 515.632080078125, 483.9158630371094, 372.2969970703125, 521.9598388671875, 72.36701202392578, 504.9502258300781, 357.3739318847656, 489.4932861328125, 111.1834487915039, 504.1992492675781, 15.395111083984375, 59.81361770629883, 389.8879699707031, 303.0294494628906, 203.4938201904297, 222.73582458496094, 516.2022094726562, 81.99543762207031, 8.222269058227539, 279.8072204589844, 316.9330749511719, 351.8450927734375, 365.60870361328125, 575.0147094726562, 495.54376220703125, 0.6674841832538362, 0.6628995625888574, 0.5624011086221287, 0.5612570595956654, 0.588504220099307, 0.565970880714393, 0.6327282153104027, 0.6707358341456113, 0.6415863179733415, 0.625841939367954, 0.5640403028202903, 0.7066434065512689, 0.590147150811187, 0.6604928222725132, 0.7275494890561891, 0.6356519263453223, 0.7100284515222011, 0.6228479138903246, 0.5739844048249648, 0.5660731819258201, 0.6951085183706667, 0.6016088276322268, 0.6003168796372629, 0.6909798501631957, 0.6839512183913241, 0.6837357355273914, 0.5676184540593099, 0.6723447624598978, 0.5858070264350055, 0.6296405480868311, 0.650529378591181, 0.6640894359334557, 0.5952473689750001, 0.6118601415650292, 0.6832757892026526, 0.5895776374898543, 0.6077984101807662, 0.5831834246607297, 0.6679131770352432, 0.7084619470962328]"
B00021DJ32,"[7.301660060882568, 7.155167102813721, 5.357247352600098, 6.909506797790527, 7.5595197677612305, 0.0, 7.301660060882568, 5.877493381500244, 3.118809700012207, 7.301660060882568, -0.6499530076980591, 6.045244216918945, 5.344999313354492, 7.301660060882568, 7.542817115783691, 7.301660060882568, 7.301660060882568, 3.4572696685791016, 7.301660060882568, -0.1275663673877716, 7.723334789276123, 7.377331733703613, 7.7085371017456055, 2.192214012145996, 7.855030059814453, 0.0, -0.11259565502405167, 5.647597312927246, 3.3800315856933594, 3.6672658920288086, 4.735194683074951, 7.301660060882568, 0.0, 0.0, 3.847606658935547, 5.200817108154297, 5.0075602531433105, 3.7398433685302734, 7.301660060882568, 7.301660060882568, 0.12696742977173936, 0.0940315442022114, 0.06076689250146611, 0.050903221749621884, 0.1288561669930791, 0.1109938956526285, 0.10510228699552214, 0.06336498261619956, 0.011880971224258395, 0.03998600221649337, 0.035144988167639085, 0.10500938481647432, 0.07841806120411486, 0.07048126754086262, 0.10046158947996683, 0.09649304359403121, 0.06619803332614096, 0.1086078001579884, 0.10582223610479627, 0.01916982252623065, 0.09171413875901456, 0.11133179534152861, 0.06493230867083734, 0.08739086175967722, 0.12340394062468299, 0.11258640946313668, 0.006052692161336574, 0.07818348541170633, 0.01484230823957818, 0.019770060195335247, 0.07477718999759124, 0.09313231725049825, 0.13213602496429022, 0.00617296462319264, 0.13122060725555787, 0.03138737214433446, 0.039727328630811146, 0.051652833777234, 0.14838850536141304, 0.007602480507185277]"
B0002JHI1I,"[4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3608623743057251, 4.71407413482666, 4.179415702819824, 3.624746084213257, 4.71407413482666, 0.18882223963737488, 2.5899007320404053, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 1.4375215768814087, 4.71407413482666, 0.16056136786937714, 4.71407413482666, 3.676647901535034, 4.71407413482666, 0.0, 4.71407413482666, 0.16056136786937714, 0.35374411940574646, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3669435381889343, 0.0, 4.71407413482666, 4.71407413482666, 0.8490164875984192, 1.8845455646514893, 4.71407413482666, 4.71407413482666, 0.03495066759322476, 0.006198614469248207, 0.1341449269958014, 0.130575118972122, 0.02953644301410325, 0.1508208138643681, 0.0978237152501441, 0.04048629093926276, 0.1219097306915055, 0.05559233188638927, 0.05168839440258252, 0.11043524776079344, 0.02149455186079717, 0.026205139463505576, 0.09153091888561926, 0.01738951860940203, 0.1144375288872732, 0.04472970798827714, 0.015932570969507443, 0.056793677173045495, 0.0021832058047893854, 0.10879757350924958, 0.12925126411774926, 0.12951763644910785, 0.1381126384856515, 0.13514505626107223, 0.04651001802896965, 0.03268281048994571, 0.07613797185283437, 0.03313900433061037, 0.015314656496979932, 0.09360272786631868, 0.07611654623523943, 0.11949942127530379, 0.12544212422630407, 0.04837675446269916, 0.05449226254836441, 0.024540249206116034, 0.049266181832024414, 0.1382941875510952]"
B0006O10P4,"[13.419936180114746, 9.964990615844727, 2.4047067165374756, 1.6074483394622803, 10.940323829650879, 0.0, 13.863518714904785, 8.788509368896484, 0.5797989964485168, 9.484389305114746, 0.7362887263298035, 5.140679359436035, 4.842850208282471, 10.351143836975098, 12.107864379882812, 12.389906883239746, 9.581731796264648, 10.245013236999512, 6.78296422958374, 0.34439751505851746, 9.129961013793945, 6.5878190994262695, 8.027403831481934, 2.057908535003662, 12.932300567626953, 0.6272926926612854, 0.3071996569633484, 4.817729473114014, -0.28100597858428955, 0.7333194613456726, 1.1011537313461304, 14.76607894897461, 0.22113469243049622, 0.0, 2.1083853244781494, 3.376983165740967, 7.440196514129639, 7.4613142013549805, 13.286487579345703, 11.669490814208984, 0.02653622956131617, 0.016267480462603658, 0.008988254347021654, 0.09886508924352436, 0.020887026277576184, 0.11300002477696992, 0.12512802659737682, 0.11152976266501721, 0.09318653340389263, 0.11901040273031696, 0.07754856429188513, 0.150665389259449, 0.1156739110612412, 0.1325369419552977, 0.034520499109837156, 0.07332699524132115, 0.056676005009170326, 0.031212711897318664, 0.10210513006100327, 0.07064216107959234, 0.0703770331675463, 0.12953091477107537, 0.124425127384121, 0.0875312106310624, 0.02383428019856616, 0.02792668284800313, 0.1443074641929214, 0.14009839680262026, 0.07829695357493166, 0.14608407524073241, 0.09544400172274414, 0.05425635838828603, 0.14603619751686672, 0.1111751405964516, 0.13193816704672942, 0.137158841807109, 0.0877117142014219, 0.13429357820184326, 0.0047313004219699415, 0.11787678830284992]"
B0009RF9DW,"[490.16900634765625, 432.038818359375, 351.29656982421875, 200.7606658935547, 489.85064697265625, 36.11164855957031, 544.771728515625, 184.062255859375, 121.90179443359375, 441.8808288574219, 125.36442565917969, 416.72357177734375, 370.3956298828125, 489.49090576171875, 442.6353454589844, 484.2134704589844, 437.3786315917969, 288.18768310546875, 467.8209533691406, 58.134769439697266, 437.2655029296875, 321.36395263671875, 424.9247131347656, 133.0028839111328, 467.11468505859375, 43.241119384765625, 52.12347412109375, 387.9921569824219, 222.19155883789062, 134.05535888671875, 210.50953674316406, 501.1484375, 47.69272994995117, 2.1317052841186523, 272.5772705078125, 327.9597473144531, 370.7291564941406, 308.03314208984375, 538.9390258789062, 467.54827880859375, 0.5491902785576616, 0.4735749997246833, 0.6263597892921323, 0.6213234836698945, 0.49663077338098854, 0.5123459564116744, 0.5327164767024035, 0.5554824483602423, 0.5060690213051583, 0.6077784376800253, 0.5144871524244949, 0.6197034370246292, 0.5644543578991487, 0.527767182564892, 0.4898634290638984, 0.606699786549793, 0.4898178529737206, 0.5188197126860008, 0.6097020273861058, 0.5159676948394055, 0.6387499067181677, 0.5379056072461459, 0.52350426921192, 0.5219877895877214, 0.5168643866398482, 0.6194623319454645, 0.4895959054346103, 0.5398420913361518, 0.5975002847748492, 0.5416678184470991, 0.46969732096978173, 0.6243663651846302, 0.5378593017828086, 0.49531430335283194, 0.5833129981641159, 0.6045664421996151, 0.5211184419000494, 0.590398538996872, 0.5291647028049674, 0.49931025476655405]"
B000FI4S1E,"[499.1337585449219, 443.17132568359375, 345.56719970703125, 207.1764373779297, 506.5368957519531, 38.275142669677734, 549.4661254882812, 166.737548828125, 112.62278747558594, 440.00225830078125, 132.94964599609375, 425.2766418457031, 390.625732421875, 491.48297119140625, 447.37548828125, 495.6299743652344, 444.7750244140625, 292.5713806152344, 476.1263427734375, 67.72855377197266, 456.3251647949219, 322.9413146972656, 418.1412658691406, 129.3649444580078, 471.4091796875, 37.66018295288086, 50.90952682495117, 396.8504943847656, 216.88783264160156, 143.96763610839844, 207.73239135742188, 498.6343688964844, 42.057586669921875, 1.486951231956482, 267.8325500488281, 324.6874084472656, 385.3581848144531, 316.228759765625, 547.5963745117188, 460.8388366699219, 0.6190202487924339, 0.48219690048173675, 0.5412158118533672, 0.512217433585543, 0.5271387008764408, 0.5753941646823701, 0.5099568870616203, 0.6371321423893554, 0.6219146074096593, 0.5055483968491745, 0.5162091393344134, 0.5675469690779563, 0.5519609414007293, 0.5474210516143343, 0.6120769005087386, 0.5244625259376829, 0.6480656302650702, 0.5740679654126384, 0.5392021545692128, 0.5096684761698489, 0.6111876955035755, 0.5744073248774358, 0.5928754462380511, 0.5351160692520335, 0.5773835917114262, 0.5400102594760945, 0.48952667467195576, 0.6329540377803977, 0.5795685596783821, 0.573000252722526, 0.5004564514779627, 0.6376929429101795, 0.5220254749410586, 0.5667807072628379, 0.564040817469305, 0.630002664982917, 0.48406748440581115, 0.5476703861239379, 0.6322018118290542, 0.5973977649440559]"
B000FOI48G,"[43.85157775878906, 40.88972854614258, 42.33843994140625, 31.384523391723633, 41.3404655456543, 6.865166187286377, 40.41044616699219, 13.16209888458252, 18.557209014892578, 23.740812301635742, 1.5522936582565308, 23.08735466003418, 39.565673828125, 40.71746826171875, 39.171268463134766, 41.23536682128906, 37.24681854248047, 36.94710159301758, 41.45698928833008, 1.0778863430023193, 41.77326965332031, 30.236310958862305, 42.93378448486328, 4.7107744216918945, 38.80397033691406, 0.3958405554294586, 4.353897571563721, 42.49024200439453, 39.26439666748047, 26.359161376953125, 32.49898910522461, 27.58206558227539, 2.699071168899536, 0.060965344309806824, 41.738250732421875, 29.306406021118164, 35.0361442565918, 13.20010757446289, 42.498268127441406, 42.2606315612793, 0.06595429229295684, 0.06417277652591015, 0.07878298857811601, 0.09320523582978621, 0.15901856502418807, 0.15963266289570485, 0.03794419221946521, 0.0266366708221995, 0.14424698029728267, 0.05300973369047564, 0.13078981731201705, 0.06643527630141607, 0.1101590656912879, 0.04881530533614876, 0.05100427637935183, 0.13231537647183092, 0.058366404164978486, 0.1405266834223345, 0.13098838583836941, 0.14304704453184577, 0.03038678274631889, 0.13457565500107505, 0.11226780986368172, 0.15982808295518058, 0.09499451832172316, 0.06625115477624977, 0.06380574679415336, 0.02289895107905002, 0.09264320867627705, 0.11736372383743622, 0.0724789602065756, 0.031137196487338727, 0.07159651948580761, 0.04747466501260938, 0.1480606624323301, 0.04178071121860194, 0.11968224260897602, 0.0752171878657616, 0.12932460249066932, 0.13698872262518022]"
B000FTYALG,"[0.06491679698228836, 0.06491679698228836, -0.035632696002721786, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.03069121390581131, 0.049571190029382706, 0.049571190029382706, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, 0.06491679698228836, 0.015345606952905655, 0.06491679698228836, 0.0, -0.02028709091246128, 0.03422558307647705, 0.03422558307647705, 0.049571190029382706, -0.028663452714681625, 0.03422558307647705, 0.049571190029382706, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.049571190029382706, -0.06288903206586838, 0.03069121390581131, 0.015345606952905655, 0.06491679698228836, -0.02028709091246128, 0.02147992039599369, 0.057401732972960064, 0.04719704071800447, 0.006370909730242231, 0.1359022538626089, 0.1193764990779608, 0.07524943303270841, 0.08507509841289357, 0.011967995382899324, 0.026381835543516013, 0.09071570101380422, 0.0864145479600162, 0.12685272831094252, 0.14478759895223844, 0.10014306344827884, 0.004662389492066787, 0.09865104040419582, 0.13475849569620327, 0.06542060078323127, 0.012346552868775014, 0.107682752222703, 0.023337265001246593, 0.08949170573386621, 0.10691699563002535, 0.05838581676656136, 0.07328760505005992, 0.01941509564972204, 0.04000937761627052, 0.13701850861931522, 0.14091557180429165, 0.1200148080303082, 0.13564788611977524, 0.027022729420228885, 0.11829302594854742, 0.13246864131023992, 0.06827991750102014, 0.053158633834658964, 0.0046202213580053535, 0.059506313061574535, 0.1460150790804843]"
B000GLRREU,"[35.18679428100586, 34.20109939575195, 35.993892669677734, 26.493877410888672, 35.93340301513672, 4.703914642333984, 34.39964294433594, 11.996339797973633, 15.846935272216797, 19.034189224243164, 1.6811869144439697, 17.9702091217041, 34.03019332885742, 34.85737991333008, 33.42969512939453, 35.908477783203125, 32.38890075683594, 31.11751937866211, 35.403926849365234, 1.2620782852172852, 36.064945220947266, 24.80219841003418, 36.89845657348633, 3.9609477519989014, 33.72142028808594, 0.5247339010238647, 4.3515729904174805, 36.17382049560547, 33.090641021728516, 23.621253967285156, 25.863061904907227, 21.412105560302734, 2.625120162963867, 0.060965344309806824, 35.94974899291992, 22.202402114868164, 29.67375373840332, 11.33698558807373, 35.68035888671875, 37.199851989746094, 0.06817754722366166, 0.10632997345113741, 0.036446258609713636, 0.11034251212554429, 0.13404518517239464, 0.09643348453614861, 0.07031725678355374, 0.16382068499683455, 0.09005088485003448, 0.12661421830061978, 0.03477930826280125, 0.15744684781322418, 0.09852379340024897, 0.09329635685844444, 0.09263660134277651, 0.06524967219545316, 0.07985300572169389, 0.058036878185046506, 0.10464041024200033, 0.1319122689214835, 0.0787637654740022, 0.041074643708331075, 0.11788065227084349, 0.06882830682887095, 0.09991397412032062, 0.14064921201069233, 0.07071424660067735, 0.13492163745219057, 0.12750370608552827, 0.11056813774607105, 0.0540442928295684, 0.09560845718836149, 0.08276658208751966, 0.14854444908771927, 0.020046732159257643, 0.015146130532396043, 0.09167017452165667, 0.04396268763761199, 0.1063782878732686, 0.16493523193825038]"
