Key,Array
B00006L9LC,"[73.59383392333984, 18.458389282226562, 9.554134368896484, 47.115966796875, 76.7577133178711, 2.579188823699951, 60.666908264160156, 84.56146240234375, 32.44572067260742, 18.211576461791992, 76.05353546142578, 21.559463500976562, 39.79469680786133, 61.93489456176758, 20.292724609375, 23.177555084228516, 43.47625732421875, 78.99744415283203, 61.11040115356445, 55.08786392211914, 2.196746349334717, 5.604761123657227, 0.760341227054596, -0.33657753467559814, 21.364452362060547, 24.905771255493164, 46.420372009277344, 68.84788513183594, 0.0, 54.16330337524414, 0.0, 13.326921463012695, 52.7821044921875, 60.76107406616211, 10.08926010131836, 9.246127128601074, 27.5421142578125, 25.681018829345703, 2.077385187149048, 75.17497253417969, 0.5600524088658778, 0.7291668413495849, 0.6741686685490704, 0.6998255015826554, 0.6263805865392621, 0.6043074697090925, 0.7053449182829665, 0.6618834532244378, 0.7348832360058574, 0.5159941888428047, 0.7181438242732151, 0.6240212747558551, 0.6951215817855296, 0.5319294652238691, 0.7240370021456871, 0.6437249587168441, 0.6488615642463971, 0.5865349054142893, 0.6679557606057673, 0.5935139252682257, 0.7356985282455195, 0.7739400035261268, 0.7307549126740678, 0.7428698045882675, 0.7647873905449224, 0.5712708044023292, 0.5844249755896425, 0.523612612847018, 0.7859459303939532, 0.6304225802630218, 0.7054788515417098, 0.6230041911527383, 0.6116598194688301, 0.6216219763878453, 0.6405437678241164, 0.7004137136551145, 0.7062101694808444, 0.506976481735904, 0.6159010696329655, 0.5864587937022313]"
B0006O10P4,"[4.949855327606201, 0.0, 0.39153358340263367, 2.618881940841675, 4.949855327606201, 0.0, 0.906194806098938, 4.335058689117432, 1.1369941234588623, 0.0, 4.949855327606201, 2.618881940841675, 0.22113478183746338, 2.6697540283203125, 0.050872139632701874, 0.0, 0.0, 4.895357608795166, 2.789280414581299, 0.4229404032230377, 0.0, 0.0, 0.0, 0.0, 0.04086105525493622, 0.04086105525493622, 2.397747278213501, 0.7091039419174194, 0.0, 0.35067251324653625, 0.0, 0.0, 2.7992918491363525, 4.949855327606201, 0.0, 0.0, 0.375248521566391, 0.050872139632701874, 0.0, 4.949855327606201, 0.03874851003202671, 0.1332267139008197, 0.07113233667015986, 0.011257402624729778, 0.11012904762757397, 0.13599504150765238, 0.018026566941302804, 0.035429818395884764, 0.07641436510592893, 0.09445159785179356, 0.1328747571577306, 0.1581935776408047, 0.1294396078936084, 0.053194170592054404, 0.16477549312140238, 0.08362131185105397, 0.1432398173048141, 0.0443908933408198, 0.14859086660570725, 0.07739006951214628, 0.07545889325401375, 0.07367528915942122, 0.03627102561280707, 0.05200931461579981, 0.14353861897408743, 0.021592656747912248, 0.16140101030106577, 0.011654067864067932, 0.05568864433277934, 0.024889144233623005, 0.16701999456928804, 0.006113332283539079, 0.1712198950455071, 0.1585965478656517, 0.03920619452948264, 0.1148799947811841, 0.0792796489782663, 0.08376803789282548, 0.11839080322947763, 0.06102484966962348]"
B0009RF9DW,"[64.0166015625, 8.030421257019043, 4.816891670227051, 26.81697654724121, 65.37903594970703, 2.8720297813415527, 56.205509185791016, 65.10491943359375, 40.772117614746094, 6.79136848449707, 66.0787124633789, 40.34616470336914, 37.6409797668457, 42.513893127441406, 9.682687759399414, 22.33914566040039, 11.42805290222168, 51.44895553588867, 36.18143081665039, 35.95964813232422, 0.9159838557243347, 18.933387756347656, 0.24047069251537323, -0.33658039569854736, 8.792877197265625, 10.142038345336914, 24.709680557250977, 50.35523223876953, 0.0, 41.639312744140625, 0.0, 5.070959091186523, 36.55827713012695, 33.25831985473633, 26.76474952697754, 3.671245813369751, 27.045560836791992, 14.20987606048584, -0.5306915044784546, 55.739864349365234, 0.5569992038881869, 0.529401720756895, 0.5503264004390751, 0.5383681407300388, 0.4661033544051551, 0.41337703350190397, 0.5370269415073392, 0.5774218989083805, 0.5483883694175399, 0.4397094668261249, 0.5120122631671256, 0.4606441258567135, 0.5251283571567122, 0.3454468336491723, 0.520527563839675, 0.49683342113145657, 0.4931427935686756, 0.5710205931687012, 0.5338883316431423, 0.40600228156326346, 0.5468560983618697, 0.45678693862249414, 0.5383775105791457, 0.46179123597588667, 0.536910911298009, 0.5956985119167244, 0.5102425499517595, 0.6573457434670601, 0.564960309438805, 0.4876697397912238, 0.6075854110202379, 0.5818431525390136, 0.5246817827501458, 0.5352473951369927, 0.578488706942738, 0.5605685291831541, 0.46594511444475684, 0.4828245742060512, 0.5325938242006119, 0.49653845811044484]"
B000FI4S1E,"[62.74726867675781, 3.6994333267211914, 7.518184185028076, 32.63365936279297, 63.632450103759766, 5.189530849456787, 45.84082794189453, 65.59717559814453, 38.82364273071289, 7.074039459228516, 67.59830474853516, 45.627464294433594, 31.856334686279297, 49.5020751953125, 9.515995025634766, 10.735025405883789, 19.31641960144043, 58.145565032958984, 41.79715347290039, 28.682987213134766, 4.120118618011475, 19.903676986694336, 0.9232143759727478, 0.0, 6.375374794006348, 12.755512237548828, 35.449092864990234, 41.27122497558594, 0.0, 37.86433029174805, 0.0, 8.936326026916504, 43.599082946777344, 37.325843811035156, 18.25481414794922, 3.2473714351654053, 19.52186393737793, 14.310735702514648, -0.20509853959083557, 58.736366271972656, 0.5799258064177921, 0.43813332694811546, 0.5512628493613868, 0.39725111877764374, 0.6918761111390231, 0.6076026444030239, 0.6627306282949429, 0.41340618058075346, 0.605162999235082, 0.5634868382065352, 0.63172347333528, 0.6108953750026049, 0.46835488722459917, 0.6047621089501696, 0.6702325326278977, 0.6214842148647297, 0.5277849010400424, 0.5516662172678657, 0.5156696218667232, 0.6085342425060887, 0.48589259441592253, 0.5638190596478295, 0.6066514396732947, 0.532018948098328, 0.6496800705667989, 0.5463824515630538, 0.5626631393266813, 0.5740377717485092, 0.5162792243928941, 0.6548974290781645, 0.6117340092669644, 0.5269455721718087, 0.5618844248634115, 0.5452504192568483, 0.6144051283544195, 0.6006441662847514, 0.5794150222504989, 0.5154139942395579, 0.38187950452583175, 0.5793906931393743]"
B000FOI48G,"[0.2042515128850937, 0.17868760228157043, 0.0, 0.0, 1.0065771341323853, 0.0, 0.9676315188407898, 1.4023168087005615, 0.2716180086135864, 0.45030564069747925, 0.2716180086135864, 0.0, -1.5191909074783325, 0.2716180086135864, 0.17868760228157043, 0.17868760228157043, 0.17868760228157043, -0.056520093232393265, 1.2807306051254272, 0.7349591255187988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4633411169052124, 0.17868760228157043, 0.45030564069747925, 0.0, 0.411359965801239, 0.0, 0.17868760228157043, 0.17868760228157043, 0.6829779148101807, 0.5432360172271729, 0.17868760228157043, -0.28919243812561035, 0.17868760228157043, 0.31056371331214905, -0.5633457899093628, 0.08046149623729973, 0.0973179552948198, 0.1692324317662223, 0.05353380753555231, 0.14362896817976498, 0.06575424694531909, 0.15421702429369527, 0.08521631206215646, 0.15069379756294188, 0.15256311706363612, 0.10787590053353359, 0.11497682524771866, 0.043993194937064, 0.15615079869435997, 0.03793876296554776, 0.07331601947786269, 0.1475316291974996, 0.15522485068327813, 0.10519129425174036, 0.1275743423073132, 0.1110872339547979, 0.054565893393253566, 0.036350062701116716, 0.13175999354284015, 0.09690811594652708, 0.07576220409267086, 0.026283055375706108, 0.07039598207269372, 0.16514683021359977, 0.13748268784970585, 0.1366109848688589, 0.02106185443021757, 0.02475003868949938, 0.1073773555845968, 0.09686688083496026, 0.11590861392145849, 0.02933026547261106, 0.1463561303449832, 0.03807117986038323, 0.14213344482602602]"
B000GLRREU,"[5.340414524078369, 0.6677964329719543, 0.37644803524017334, 1.0105541944503784, 2.1757144927978516, -0.11721178889274597, 3.9400572776794434, 6.598358631134033, 0.4431838393211365, 0.600753664970398, 2.4323489665985107, 0.9670377373695374, 6.205167770385742, 0.9739755988121033, 1.525537133216858, 4.620996952056885, 0.5560566186904907, 7.450411796569824, 5.172334671020508, 3.436340093612671, 0.1736036241054535, 0.9670377373695374, 0.0, 0.0, -0.44619324803352356, 1.7337067127227783, 3.4176583290100098, 2.0357322692871094, 0.0, 1.7706358432769775, 0.0, 0.6677964329719543, 2.539036512374878, 1.5970861911773682, 1.9884518384933472, 0.42715007066726685, 5.282827377319336, 0.600753664970398, 0.14435432851314545, 3.630948066711426, 0.0697993000263828, 0.13127252986980395, 0.10476041919967918, 0.04693768318525186, 0.11886454882152173, 0.09958053131595428, 0.06456895432370734, 0.0911767482287111, 0.18431894047873515, 0.05946741166516258, 0.18185701019811215, 0.15343183190949675, 0.18065440808319855, 0.09765991331415379, 0.062299167417315476, 0.09916051792216683, 0.11424300779206915, 0.06828524009951963, 0.044284946164792366, 0.18192115164717515, 0.04908336815304316, 0.09084329362736607, 0.07939091767722377, 0.03286560335859466, 0.10604884844137213, 0.07358831892563428, 0.11198519433851387, 0.18431041503976986, 0.06788722837552379, 0.1806399517384868, 0.10616406924914389, 0.16974685882278923, 0.15917126969021173, 0.038142388485079705, 0.12376112074962936, 0.17046634477397435, 0.04733966173271254, 0.04832239124231785, 0.04277394347021807, 0.11606353591109196]"
B000LIBUBY,"[2.695783853530884, 0.0, 0.0, 2.022784471511841, 3.189300060272217, 0.14651672542095184, 2.549267053604126, 3.189300060272217, 0.6729993224143982, 0.0, 4.949889183044434, 0.0, 0.0, 2.022784471511841, 0.0, 0.0, 2.022784471511841, 2.1693012714385986, 2.1693012714385986, 2.695783853530884, 0.0, 0.0, 0.0, 0.0, 2.022784471511841, 0.0, 2.022784471511841, 2.022784471511841, 0.0, 2.022784471511841, 0.0, 0.0, 2.549267053604126, 2.1693012714385986, 0.0, 0.0, 0.0, 0.0, 0.0, 2.695783853530884, 0.07017761453848534, 0.03154506688572193, 0.1348385375325599, 0.1413055073251835, 0.1472091926684164, 0.09682068651024946, 0.16287692025590583, 0.02379955400181573, 0.00578493903006214, 0.01845802809624972, 0.0396344454989769, 0.1447253353602799, 0.1026368844791247, 0.10228128559446961, 0.05469803129539962, 0.1335892182231926, 0.01645560761663961, 0.11425462413377041, 0.04376596060342612, 0.1428953770122163, 0.057151670335938945, 0.0969932349073997, 0.06108056723780068, 0.019825057447912527, 0.061065457393302956, 0.024035837986066365, 0.09939996937223465, 0.14090109686309285, 0.12607333040660926, 0.14773355678302286, 0.16737152465213917, 0.027172886185641898, 0.062333512531282914, 0.020210256283335826, 0.08920897808658708, 0.06901882516725313, 0.15258862831181774, 0.017303889847941237, 0.13630257321826605, 0.12838872035257917]"
B000NKJIXM,"[6.075128555297852, 3.062883138656616, 0.4776303172111511, 1.2673513889312744, 2.5356221199035645, 0.37564170360565186, 6.814998626708984, 3.5697922706604004, 0.6998250484466553, 3.4385247230529785, 3.9732987880706787, 0.2708764970302582, 0.6314558982849121, 2.4571642875671387, 3.724574565887451, 3.348870038986206, 3.2620091438293457, 2.5467941761016846, 4.099250793457031, 9.219345092773438, 0.37564170360565186, 0.0, 0.05330686271190643, 0.0, 2.0338449478149414, 3.434992790222168, 11.314824104309082, 5.936037540435791, 0.0, 4.9637250900268555, 0.0, 2.8863675594329834, 4.810577869415283, 1.9916173219680786, -1.9666433334350586, 2.8863675594329834, 7.0148186683654785, 8.768272399902344, 0.1961113065481186, 10.234574317932129, 0.023796595123463514, 0.14487814610894925, 0.15560170460540895, 0.04182975092094354, 0.06924895371759769, 0.1951832140607058, 0.0755036442279822, 0.19226756938773923, 0.13599374185200042, 0.14286102640603704, 0.13917402830765427, 0.07087214324582455, 0.0734727315652568, 0.1485855957482408, 0.12869412681938938, 0.13022875544434076, 0.04444520122494266, 0.025960821976232708, 0.16303134166324057, 0.10186208435712131, 0.11920542346488745, 0.1782305889885014, 0.18135899947017337, 0.052096143749409816, 0.16462405853312223, 0.027504746805564712, 0.1558341687496203, 0.15218938453589215, 0.12416484013541132, 0.15821560419732564, 0.12674950023960893, 0.1027368072307947, 0.1108231223824103, 0.08029409707488244, 0.1633747602810508, 0.08325523430091639, 0.13797341620514667, 0.040406363418713266, 0.1609549125096642, 0.09322928319945901]"
B000PKKAGO,"[3.1833720207214355, 0.41496846079826355, 3.1833720207214355, 1.145361304283142, 3.1833720207214355, 0.0, 3.1833720207214355, 3.1833720207214355, -0.8134152293205261, 0.41496846079826355, 3.1833720207214355, 0.0, 3.1833720207214355, -1.439584493637085, 3.1657042503356934, 3.1430861949920654, -0.49799081683158875, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 0.0, 0.0, 0.0, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 3.1833720207214355, 0.0, -1.2283836603164673, 1.777953028678894, 3.1833720207214355, 0.24650441110134125, 0.0, 3.1833720207214355, 2.7648701667785645, -0.41210341453552246, 3.1833720207214355, 0.03093998586460087, 0.08661164623028357, 0.12531616966023384, 0.0998399234897212, 0.03032621376928015, 0.15393743286399372, 0.04793429054483246, 0.029291682301520523, 0.02096198423800023, 0.05282354734846122, 0.13015422485369982, 0.1004725712592948, 0.0586034333810864, 0.1043542154596756, 0.07108999690230287, 0.09002076832822001, 0.026668079257051988, 0.13166100060144303, 0.1614322513181845, 0.03461378268659861, 0.08157112332449379, 0.08427225880945237, 0.09173135495225532, 0.046208412507567465, 0.10730546272247435, 0.0801141148891767, 0.09609994145661355, 0.07531912774987468, 0.0819596040896204, 0.006391154465639471, 0.10127279810606298, 0.15049760094234937, 0.011458485001717538, 0.15071407202218348, 0.08593306909465082, 0.03035444481369082, 0.0708170828148252, 0.10854718926675756, 0.05581311955853406, 0.032202936968147355]"
B000URXP6E,"[164.9271697998047, 24.3436336517334, 26.311864852905273, 84.59884643554688, 181.60333251953125, 16.405607223510742, 153.69200134277344, 192.37762451171875, 118.7103042602539, 23.66187286376953, 184.5175323486328, 99.54793548583984, 82.34021759033203, 134.1169891357422, 20.923816680908203, 65.42671966552734, 44.55234146118164, 147.0734100341797, 119.10669708251953, 93.45252990722656, 7.099829196929932, 38.183502197265625, 1.6589164733886719, 0.0, 9.628854751586914, 33.60888671875, 58.73359680175781, 131.24917602539062, 0.0, 92.81271362304688, 0.0, 4.8508477210998535, 102.21991729736328, 89.40465545654297, 49.95948028564453, 4.015109062194824, 60.92767333984375, 44.053443908691406, 3.3860690593719482, 161.57852172851562, 0.9400017533357761, 0.8388980058457559, 0.8999279805549562, 0.7748895959460362, 0.7955918209119349, 0.9073609748721457, 0.9654764925255909, 0.8498628998793845, 0.7579239221966301, 0.8686418268841767, 0.7684198102789679, 0.9116330556134359, 0.7758340559680675, 0.8255488377101201, 0.8667863379206184, 0.9415235830867696, 0.8406134478683736, 0.8010481321041307, 0.8802811026553208, 0.9715890390684768, 0.8181345816212893, 0.9589002775835384, 0.7961181350558514, 0.7847216090937711, 0.8667795500050823, 0.8600292053244084, 0.7394923181457306, 0.8290427661741846, 0.8216405285824555, 0.9535359789466986, 0.8342500136565106, 0.8123637053634949, 0.8272682787280257, 1.0452344325260159, 0.9922703460657077, 0.9831951533154194, 0.9134773390752714, 0.9458603513500111, 0.8635496273883818, 0.8259562932471244]"
