Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08619588975450768, 0.1616402616630048, 0.03780529461930853, 0.10683806634364935, 0.025906695664926017, 0.05876440338020621, 0.055740623001886744, 0.15698592183626647, 0.06539560445934699, 0.1429810272610271, 0.07779853939993472, 0.08884493854058954, 0.03849095062259433, 0.15677418294026427, 0.09083736223741147, 0.1155957969189827, 0.10446353332312874, 0.06237160889321558, 0.09244777171183277, 0.09496017538480267, 0.14599373869002402, 0.14198029987884198, 0.17432398801950283, 0.038732570740355715, 0.16429146926154192, 0.0995881027058734, 0.06194544055932672, 0.05101013877534165, 0.14913977254994618, 0.04979480506780039, 0.07469560641933742, 0.1311052991048418, 0.07118803552726766, 0.1519789892845497, 0.1586552567249933, 0.11286202127811147, 0.13812280162059212, 0.1377697130019332, 0.05195051210423202, 0.14685040583917752]"
A10JB7YPWZGRF4,"[0.6397714018821716, 1.6610047817230225, -0.701347827911377, -0.701347827911377, 1.548989176750183, 0.0, 2.012866735458374, 0.0, 0.0, 3.146115779876709, 0.0, 0.3198857009410858, -0.701347827911377, 2.124882459640503, 2.124882459640503, -0.9253791570663452, 0.6397714018821716, -0.701347827911377, 0.7837632298469543, 0.0, 1.6610047817230225, -1.0212334394454956, -0.701347827911377, 0.0, 0.5277556777000427, 0.0, 0.0, 1.6610047817230225, -0.701347827911377, 0.0, -0.701347827911377, 2.9220845699310303, 0.3198857009410858, 0.0, -0.701347827911377, 0.6397714018821716, -0.701347827911377, 0.3198857009410858, 2.124882459640503, 0.7837632298469543, 0.021671109708888515, 0.07389125306396686, 0.016742531251654168, 0.1325645622019457, 0.10225771913387055, 0.03869373757326688, 0.04092041941237204, 0.05508858738620797, 0.12188129609567154, 0.06445055994778598, 0.014764569082813254, 0.05902120557781347, 0.07620921006115203, 0.1295827292369062, 0.04727943488194104, 0.1311484203447492, 0.13067783915888223, 0.08903876214511906, 0.15020628626652435, 0.13280365610057354, 0.13627103579281752, 0.045881114737442365, 0.03546395347469954, 0.08438122619230956, 0.02316362932914938, 0.16311634847164103, 0.11303128260094167, 0.11044809154736056, 0.1291205702278701, 0.12197604969918836, 0.10948553277364353, 0.080532730613717, 0.1289179163644708, 0.01835510535326191, 0.06514450729515615, 0.11993906741818414, 0.04483901094705329, 0.11504231362722689, 0.07901324766378608, 0.01934114060439141]"
A10M2MLE2R0L6K,"[3.764075756072998, 2.426199436187744, 1.6595587730407715, 0.8647207021713257, 2.0835037231445312, 0.0, 2.6909120082855225, 0.5518532991409302, 1.6587141752243042, 1.9153751134872437, 0.8647207021713257, 1.9549480676651, 2.211411952972412, 2.3795409202575684, 2.0835037231445312, 2.0835037231445312, 1.9153751134872437, 0.7199820280075073, 2.396371364593506, 0.0, 2.0835037231445312, 1.9153751134872437, 4.328358173370361, 1.3635218143463135, 4.481853008270264, 0.0, 0.6089043617248535, 3.921341896057129, 0.7199820280075073, 0.6089043617248535, 1.0977140665054321, 2.2282426357269287, 0.0, 0.25581637024879456, 1.1549218893051147, 2.396371364593506, 1.9153751134872437, 1.6595587730407715, 2.629521369934082, 2.0835037231445312, 0.14955327797537152, 0.06866794800147921, 0.037695690450013364, 0.06586897929333456, 0.06689269412539936, 0.054844581631986064, 0.06200608735110876, 0.022538649406319333, 0.03268606641972179, 0.03863917134720793, 0.1400547578748555, 0.04826743788845995, 0.050608176108434495, 0.08609725203620705, 0.13076380320711165, 0.009923869414191053, 0.09342508865812087, 0.142384405983848, 0.04265794537913768, 0.11623619971688055, 0.08720244144797386, 0.018205535773133177, 0.028292362983187318, 0.15200061657189648, 0.030851792934977484, 0.01829791309962133, 0.11014207064214857, 0.014726189884466593, 0.11660785090723248, 0.030078710204116225, 0.13791492951560733, 0.097963922708451, 0.06623927744180008, 0.007613307826250462, 0.01026601738382282, 0.1105368492368483, 0.055504944809578446, 0.1394883749845098, 0.07472253671396151, 0.05896726781417056]"
A10P0NAKKRYKTZ,"[2.9686365127563477, 1.4545260667800903, 1.448833703994751, 1.4545260667800903, 2.9686365127563477, 0.0, 8.685205459594727, 0.9276717901229858, 1.8496512174606323, 2.3765053749084473, 0.9276717901229858, 6.50001335144043, 1.4545260667800903, 2.9686365127563477, 6.505705833435059, 2.046656847000122, 5.913574695587158, 6.505705833435059, 2.9686365127563477, 0.0, 2.046656847000122, 0.9276717901229858, 2.9686365127563477, 0.0, 6.505705833435059, 0.0, 0.0, 0.5268542170524597, 2.9686365127563477, 0.0, 0.5268542170524597, 3.634025812149048, 0.5268542170524597, 0.9276717901229858, 1.448833703994751, 4.226156234741211, 1.4545260667800903, 0.5268542170524597, 8.685205459594727, 2.9686365127563477, 0.16460054851936076, 0.10420204615409707, 0.11070981739209092, 0.15675756069327576, 0.04088596763920554, 0.08552459794674398, 0.1406923426793261, 0.13276665418368222, 0.13917050133864847, 0.1512366909198884, 0.0965637435029353, 0.1734487475780928, 0.07300296469523633, 0.1445586614598413, 0.10071692157723114, 0.06107289151165078, 0.08005267189082993, 0.11590250898151053, 0.05680900811607571, 0.10473229849439838, 0.13153940380593412, 0.1090724315971691, 0.08112326693053662, 0.11201212308006718, 0.14198454590985254, 0.13392797378792756, 0.0253432013499035, 0.06435465434466368, 0.11875302058445261, 0.14022333025403588, 0.06573877764174824, 0.10295402542893546, 0.11857354734959716, 0.042563665587604806, 0.16759839595584874, 0.1756718448717171, 0.07110739541900665, 0.13120713531052025, 0.12783087350918934, 0.07235587236584991]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.055563449859619, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0898183796781023, 0.13202225083938965, 0.15067639831029536, 0.06893956818852202, 0.04026946917955707, 0.07819043341524304, 0.07494165976091438, 0.09241794250878534, 0.15512597926439087, 0.050963757952550696, 0.149082303085201, 0.1625940387399877, 0.08941694494786055, 0.0713069001982763, 0.14510927718149766, 0.0868497229560607, 0.08357487074916775, 0.10186457958051107, 0.039272317251196995, 0.11206890467269931, 0.10426167760417296, 0.18189166847389276, 0.15979265693841233, 0.08221259053643108, 0.14898483130072726, 0.1660698011290274, 0.13766125845915395, 0.06623187729420384, 0.039707252081569, 0.0881797535457139, 0.13014775810364412, 0.04800013144513549, 0.05142595106269524, 0.12086738039613298, 0.07716857389662457, 0.06094480630127409, 0.1593578367739185, 0.13605051930429585, 0.07700856458352255, 0.17592257294731517]"
A1118RD3AJD5KH,"[1.0946390628814697, 1.0946390628814697, 0.0, 0.5473195314407349, 1.0946390628814697, 0.0, 1.0946390628814697, 0.0, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 0.0, 0.5473195314407349, 0.0, 0.0, 0.5473195314407349, 0.0, 0.5473195314407349, 0.0, 1.0946390628814697, 0.0, 0.0, 1.0946390628814697, 0.0, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 0.07057275428239837, 0.05711802613255182, 0.10334322963839263, 0.03765996034187517, 0.15153871697463098, 0.1185959853371998, 0.1650945998104055, 0.0771932879903256, 0.09528167578293924, 0.09397734630686495, 0.1427783668591686, 0.02696675519208105, 0.027878836012106053, 0.11223932051304668, 0.029989871208641255, 0.0813532308492662, 0.030963837164497524, 0.08988922313513469, 0.034463563831326975, 0.03260253769293582, 0.16088337142164028, 0.05735997926364805, 0.09024473741358492, 0.14200650210281077, 0.08638800380596735, 0.04713508854804728, 0.1394139584401412, 0.06853013307321013, 0.07908239471055568, 0.09356410453034655, 0.050196904883169795, 0.16702082556085684, 0.0507019510778871, 0.09820707080526772, 0.06936304017198718, 0.03195917377727933, 0.0585992747705752, 0.09246112992616279, 0.04977217764816522, 0.15006694004566754]"
A115LE3GBAO8I6,"[3.040534019470215, 3.3354856967926025, 14.647539138793945, -0.9487089514732361, 3.040534019470215, 0.0, 14.50764274597168, 10.40195369720459, 0.0, 13.840828895568848, 0.1483730673789978, 3.3354856967926025, 4.290567398071289, 13.442487716674805, 13.737439155578613, 14.39756965637207, 3.3354856967926025, -0.8003358840942383, 4.290567398071289, 0.0, 4.290567398071289, 4.135821342468262, 4.142194747924805, 4.135821342468262, 13.442487716674805, 0.0, 0.0, 3.847242593765259, -0.03681483119726181, 10.216765403747559, -0.2885787785053253, 13.545877456665039, 0.0, 0.0, 10.365138053894043, 3.2905032634735107, 14.686147689819336, 3.4388766288757324, 13.552560806274414, 13.442487716674805, 0.16411534230903313, 0.174843833411172, 0.04650329494056722, 0.13290378308043135, 0.049545172789678134, 0.1407304015476321, 0.03411301803808064, 0.15352862179041654, 0.16914577645400408, 0.07380471691932226, 0.11051156649396725, 0.1385768274419206, 0.08733277051855418, 0.14911492959786998, 0.09610948875592286, 0.031391877723211004, 0.13364022798106207, 0.1577755547608039, 0.09928902770035611, 0.16326242924738038, 0.15567817825188, 0.10559428650336275, 0.16041339859850534, 0.17085537234105225, 0.05751747571392148, 0.06163413188282234, 0.07152947362274542, 0.06748704684977891, 0.08336462099578554, 0.15061413113029037, 0.07560306119722437, 0.04045240999183825, 0.03432322985374717, 0.09758225440973126, 0.17180430350197304, 0.14345190610324066, 0.07824537347927439, 0.15917698180855544, 0.048731341353516956, 0.07922860823380723]"
A11AZPF8R6A1F8,"[14.596071243286133, 14.596071243286133, 5.510303020477295, 6.057624816894531, 14.596071243286133, 2.4814906120300293, 14.596071243286133, 0.547321617603302, 6.604277610778809, 12.114580154418945, 6.604277610778809, 6.057624816894531, 14.596071243286133, 14.596071243286133, 12.114580154418945, 14.596071243286133, 12.114580154418945, 6.057624816894531, 14.596071243286133, 6.604277610778809, 14.596071243286133, 9.633090019226074, 8.539114952087402, 2.4814906120300293, 8.539114952087402, 0.0, 0.547321617603302, 6.057624816894531, 3.0288124084472656, 6.057624816894531, 5.510303020477295, 14.596071243286133, 0.0, 0.0, 9.633090019226074, 3.0288124084472656, 3.5761337280273438, 12.114580154418945, 14.596071243286133, 14.596071243286133, 0.059724287312685455, 0.03422040424538579, 0.04144491066070629, 0.09257216252003528, 0.11000646088982756, 0.07717274876301028, 0.03971646389992045, 0.0814550135494723, 0.05623075022505051, 0.11888600187063673, 0.14492083595556354, 0.06994144901288837, 0.02229493680317986, 0.17033409469832628, 0.15384117638561418, 0.0945624458454251, 0.12150300156481074, 0.09321507379082405, 0.09457771274042212, 0.06874417526206553, 0.09480083666012085, 0.12294109792997251, 0.15254272728006357, 0.08807902993785698, 0.10995323473142232, 0.028611148207536956, 0.12411563015915779, 0.03306771313418831, 0.15933682762251944, 0.10035421115897589, 0.16036256362893445, 0.03723845243078907, 0.14692606919126894, 0.1110491045259465, 0.09855942062362129, 0.12210587177414738, 0.029223084784676796, 0.08858008593759799, 0.08694499314416847, 0.08414727428968215]"
A11L1TI883AOSV,"[-1.6177650690078735, 0.040120307356119156, -0.0766405463218689, 0.5365581512451172, -0.9048409461975098, -0.0766405463218689, -0.9896466732025146, -1.4518280029296875, 1.0990217924118042, 0.7660343647003174, 0.5518490672111511, 0.05678452178835869, -0.2037191092967987, 0.6025840044021606, 0.014177572913467884, 0.42614373564720154, 0.014177572913467884, 0.17762792110443115, -3.4519052505493164, 1.0990217924118042, 0.7660343647003174, 1.0990217924118042, -3.2530109882354736, 0.0, -3.7343807220458984, 0.0, 0.4858231544494629, -0.9578770399093628, 0.7152994275093079, 0.776648998260498, -0.0766405463218689, -2.0380449295043945, 0.0, 0.0, -1.0553014278411865, -0.24009090662002563, 0.4391336739063263, 1.3284980058670044, -1.735194206237793, -0.8918511271476746, 0.14168994818815656, 0.07524796107909959, 0.15659597026549246, 0.07491536518466128, 0.15090513819867504, 0.15356226612357676, 0.09423649522411016, 0.08344010794232602, 0.1222065260161461, 0.045556773650499094, 0.037066860691521514, 0.16108706017615115, 0.168553352766577, 0.1500464007382429, 0.06587307224561913, 0.14506234683396182, 0.04234085104642588, 0.08588214823834424, 0.03230379937060646, 0.09787807330160962, 0.14172078667062024, 0.12014699476251495, 0.12351510138017537, 0.09978955532548071, 0.03148604379841895, 0.11555758286158373, 0.1065012240737336, 0.15316701913455621, 0.11548032756079478, 0.16183350156531953, 0.16554484799716926, 0.07051686118432075, 0.052878405006362414, 0.12363398981915781, 0.05730301688442949, 0.045259116455505406, 0.04115367120979651, 0.021842347307249325, 0.12782463086144624, 0.15850243186731702]"
A11QGZ39A7ZF0X,"[12.017701148986816, 9.173330307006836, 7.608542442321777, 5.742439270019531, 11.507451057434082, 1.1293447017669678, 12.295565605163574, 0.5220671892166138, 3.1591506004333496, 6.677099227905273, 0.7400888204574585, 8.731670379638672, 8.0084810256958, 9.567106246948242, 10.105713844299316, 7.3783464431762695, 8.42586898803711, 4.264939785003662, 12.390209197998047, 0.3648776710033417, 9.781270027160645, 9.623355865478516, 12.396273612976074, 5.790154457092285, 10.370207786560059, 0.0, 0.0, 11.274197578430176, 2.6637227535247803, 2.9737963676452637, 3.6669161319732666, 9.701372146606445, 0.0, 0.0, 1.7562119960784912, 10.087986946105957, 7.784815311431885, 8.893780708312988, 11.263079643249512, 11.072381019592285, 0.15959711503642054, 0.06365135305999195, 0.0876361099292399, 0.02160279938097061, 0.06927301045022366, 0.10677204141383048, 0.09783930800034696, 0.11687833496029137, 0.06665584215684142, 0.04769065038232336, 0.11248459615070955, 0.08290003213012201, 0.09922384351163055, 0.1302771140184202, 0.09182215813694784, 0.14022286177395082, 0.0998787601740292, 0.1627393938800731, 0.07830944977199852, 0.1283542717439701, 0.1482134594711939, 0.1329634455519144, 0.06277950729813296, 0.11889444113699349, 0.13596479442332204, 0.020437033493418764, 0.07464299988227942, 0.011920275551499871, 0.08239501593689211, 0.02384924110613474, 0.054591538375778806, 0.03395734064831696, 0.10003261740070887, 0.05834767709555166, 0.06492980101655171, 0.11643667463121518, 0.11215370236508167, 0.060546511752163884, 0.047800081531371726, 0.14301972367009536]"
