Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10111309046344313, 0.138412071833098, 0.14792836125486533, 0.16624277909884688, 0.17186965348196237, 0.10688457969817639, 0.11704197099986322, 0.1638399040775752, 0.06606353777321711, 0.11131555306534947, 0.12943320056295973, 0.05374154858850137, 0.1689154629299603, 0.03715458519382297, 0.15112036103669696, 0.13539202833191855, 0.17907548136311233, 0.07174144239673146, 0.14637442241884857, 0.1519613445604864, 0.1404354670334317, 0.17832442622334793, 0.09156276756066199, 0.15610809044591886, 0.05142266183364446, 0.11965558999416058, 0.15816759829370872, 0.10556376513649597, 0.05272380091027979, 0.04148511914832935, 0.1641746582830407, 0.19451652866903898, 0.10529632758352672, 0.08910780677731533, 0.07865877941497976, 0.08180120582088078, 0.15502121666652935, 0.056404343176295696, 0.16185969632626057, 0.13055875442265258]"
A1118RD3AJD5KH,"[0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165, 0.18243983387947083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.36487966775894165, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165, 0.1438804630452583, 0.0786541988597631, 0.1646221122318942, 0.04582158422035912, 0.05605651901391456, 0.06412582641652562, 0.18171391702401613, 0.16202572350203914, 0.08833251482598045, 0.11559527504462101, 0.089558032763984, 0.17073468991814397, 0.04315769314301982, 0.10682723542468064, 0.10927797175398687, 0.14944912018718215, 0.17578459362051024, 0.1132467444942746, 0.06934589097521088, 0.06910220472507504, 0.11396883848941709, 0.12914140863221513, 0.10034822139285139, 0.05769299128571697, 0.07579896987702398, 0.18744627307107062, 0.07382757666829479, 0.09277586667310782, 0.07436997249039208, 0.059817199230670755, 0.08967324716378185, 0.052028443073908796, 0.07427693958625366, 0.13993158941708939, 0.17247321777588026, 0.1986613007497432, 0.15163216103400617, 0.1285967761369316, 0.18549635112543364, 0.16058258703772224]"
A11L1TI883AOSV,"[-0.3517671525478363, 0.20439954102039337, 0.36634060740470886, 0.36634060740470886, -0.5980684757232666, 0.1619410514831543, -0.5046771168708801, -0.18831677734851837, 0.20086133480072021, 0.36634060740470886, -0.48477157950401306, 0.2264081984758377, -0.2597118616104126, 0.4973161220550537, -0.0255468487739563, 0.016911644488573074, 0.2984713315963745, -0.29728370904922485, 0.4973161220550537, -0.17921146750450134, 0.1619410514831543, 0.0, 0.0, 0.0, 0.0, 0.21642450988292694, 0.12436924874782562, -0.10979578644037247, 0.0, -0.08481801301240921, 0.0, 0.05448345094919205, 0.12436924874782562, -0.42945924401283264, -0.30078476667404175, 0.0, 0.258882999420166, 0.1619410514831543, 0.0, 0.26089954376220703, 0.12415369206709174, 0.15062269666362435, 0.07774967662496746, 0.15558737573560152, 0.12802643684782378, 0.06791282941534943, 0.058563763886882586, 0.11517400268111942, 0.11500897238466665, 0.09515318348630769, 0.1795361228138198, 0.13873912822958726, 0.12369678885089443, 0.04350526544124538, 0.1584384287489483, 0.08728009096548914, 0.1833821534966572, 0.08821963362935746, 0.05694077325459568, 0.039762839302697424, 0.06776765373436976, 0.11336540455281131, 0.18388197922827407, 0.1156525247448808, 0.1842925715867387, 0.07713445171341105, 0.13015769027005164, 0.04895357445073545, 0.1552367025026489, 0.15210270904098158, 0.08091538394745688, 0.09272988998639489, 0.1663137891676535, 0.14611600106185943, 0.09875572871768616, 0.15252438750664293, 0.091738414688758, 0.14285766203409936, 0.09198532438900496, 0.1908730267781515]"
A11QGZ39A7ZF0X,"[3.9758973121643066, 0.0, -0.24060896039009094, 4.764172077178955, 4.622778415679932, 0.0, -0.5106149911880493, -0.13730359077453613, 3.21962308883667, 0.0, 3.790210723876953, 0.8438889980316162, 4.35162878036499, 4.949858665466309, 2.3757340908050537, 0.0, 0.0, 2.892542839050293, 3.4031577110290527, -0.24060896039009094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.678709030151367, -0.2711493968963623, 0.0, -0.1856866031885147, 0.0, 0.0, 1.168817400932312, 0.5727396011352539, -0.3270803689956665, 0.0, -0.3270803689956665, 0.0, -1.8035342693328857, 0.5727396011352539, 0.16005933642442927, 0.14076960632308896, 0.08402953325615446, 0.06750937456894207, 0.12223429930702918, 0.14219269554889746, 0.11342590278056702, 0.08943820486766799, 0.1322835636464215, 0.16900158589212128, 0.05171920230376674, 0.1574392123156455, 0.11295735936245692, 0.09022607371157769, 0.1398462158003634, 0.0780639977359123, 0.06567621545541209, 0.17702595637421764, 0.08086272583005549, 0.10938048928925045, 0.19011116671442208, 0.13559896561195278, 0.12242563774359992, 0.09032221763197777, 0.07092474354423414, 0.09221070536756859, 0.11259861763673167, 0.12297066229561623, 0.12639619213036368, 0.06851215793825396, 0.14508521152548728, 0.12107085176195957, 0.11773799933236795, 0.10773540675606848, 0.1419173962946742, 0.1296510698440451, 0.020196879149735083, 0.17629087385214742, 0.1823924120043553, 0.03292485016036352]"
A125TMC44CJBKK,"[2.8468759059906006, 0.0, 0.0, 1.2283134460449219, 5.693751811981201, 0.0, 2.8468759059906006, 5.693751811981201, 4.465438365936279, 0.0, 5.693751811981201, 0.0, 0.0, 1.2283134460449219, 0.0, 1.6185623407363892, 0.0, 5.743819713592529, 4.465438365936279, 2.8468759059906006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8468759059906006, 0.0, 2.8468759059906006, 0.0, 0.0, 0.0, 1.6185623407363892, 0.0, 0.0, 2.8468759059906006, 1.2283134460449219, 0.0, 2.8468759059906006, 0.18505748483479645, 0.16864638566262763, 0.1935409520223124, 0.20537179881974396, 0.09651288374805905, 0.1735531255315289, 0.2151451377691762, 0.13585537148330695, 0.12211610397739553, 0.17287435375337754, 0.1625411240570256, 0.21711258144247278, 0.12038067452638215, 0.06823880248208072, 0.1256079297261081, 0.16415805152550733, 0.11973535219999827, 0.08697714259253204, 0.11167595630690849, 0.08843508074751406, 0.2205729672879897, 0.19087088795914717, 0.1253363816342843, 0.0883254617477142, 0.11985360480278487, 0.13457210777717074, 0.09846379358707551, 0.13456927626592657, 0.15842641725425363, 0.1779204622699254, 0.21801882010782198, 0.08409521604503048, 0.1503451571857545, 0.09510050456484734, 0.13122392827376092, 0.20293052242812704, 0.15347020122063518, 0.17729753511966204, 0.10690971622005097, 0.12953527549137045]"
A12B5Y225ADJWE,"[0.7049148082733154, 0.0, 0.0, 0.0801551416516304, 1.5141130685806274, 0.06760847568511963, 0.7049148082733154, 2.3909196853637695, 0.889353334903717, 0.0, 2.4585280418395996, 0.0, 0.6247596740722656, 0.0, 0.0801551416516304, 0.889353334903717, 0.0, 1.5141130685806274, 1.6985514163970947, 0.14776360988616943, 0.0, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0, 0.0801551416516304, 1.766160011291504, 0.0, 0.6247596740722656, 0.0, 0.0, 0.8091982007026672, 3.6529858112335205, 0.7049148082733154, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0801551416516304, 0.11167336939638547, 0.14588840171508075, 0.14426591168551114, 0.07423713722652697, 0.10414314994238714, 0.1494424187035545, 0.08936616098160631, 0.07477082173714864, 0.15780292036928986, 0.09106066109260813, 0.08827558887969536, 0.13767144934097167, 0.1780215845180193, 0.15855977715158284, 0.07694731407330066, 0.1405081289647844, 0.14846598632554972, 0.17995442856996893, 0.15543833112693187, 0.1407917597231195, 0.17650354402925217, 0.08818254405283898, 0.18765807702222462, 0.11342937402945825, 0.19619230827898734, 0.09942286848316141, 0.0891218838916935, 0.12070719943587752, 0.1969992143051103, 0.11497257928390525, 0.09090113452445042, 0.15604644321946173, 0.07991344144587581, 0.13074955975353733, 0.0707106808218807, 0.053113437109340154, 0.1314407248890413, 0.06921032740660409, 0.05134573534441074, 0.06438606199787264]"
A12X146LZM6KM0,"[0.3648810088634491, 0.18244050443172455, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.3648810088634491, 0.3648810088634491, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.18244050443172455, 0.3648810088634491, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.0, 0.0, 0.0, 0.3648810088634491, 0.0, 0.0, 0.18244050443172455, 0.06851831592984878, 0.0677641756099234, 0.16892623670804027, 0.18267684071907372, 0.14675127670634713, 0.16196241260252234, 0.13318151712130938, 0.15282753405804433, 0.06671999433612745, 0.09338851346951615, 0.10457052449943584, 0.0711943532733743, 0.16944445538989467, 0.05939702955946249, 0.06962976880153517, 0.08772628793448749, 0.039926992619395425, 0.08944317491939745, 0.07650511792818858, 0.1706624901098576, 0.11809354163373989, 0.1726238632317202, 0.07893670561305338, 0.05666506982908581, 0.1009975024989868, 0.051804212382210245, 0.1739094898685165, 0.15069383301960734, 0.19083929319885565, 0.15246374507037552, 0.05636565172950479, 0.14209006749628758, 0.13526102049892305, 0.07525088877022962, 0.1198787781491883, 0.11824724603809843, 0.08753517783906557, 0.13759832310643347, 0.07059762447857446, 0.17503945074359775]"
A14SJT4M0BP298,"[0.45427554845809937, 0.18244034051895142, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.0, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.18244034051895142, 0.5436704754829407, 0.45427554845809937, 0.0, 0.45427554845809937, 0.0, 0.18244034051895142, 0.0, 0.45427554845809937, 0.45427554845809937, 0.27183523774147034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27183523774147034, 0.18244034051895142, 0.18244034051895142, 0.0, 0.0, 0.0, 0.0, 0.18244034051895142, 0.27183523774147034, 0.0, 0.0, 0.18244034051895142, 0.0, 0.0, 0.45427554845809937, 0.11046662501606741, 0.14618820044519446, 0.11174224067982262, 0.12236704919776555, 0.13010822012550524, 0.17629810769304852, 0.08625927219908928, 0.06481660093944397, 0.09418514147404276, 0.08068002929830098, 0.05966431286465913, 0.1819331055056752, 0.11761159515203498, 0.18785758849770637, 0.16196817287786155, 0.059788104241362015, 0.14773077970308576, 0.072566371579484, 0.13339811721534833, 0.19344486578839656, 0.09161880468180142, 0.18434890894182146, 0.063449406638232, 0.12990047822128786, 0.07386807784635276, 0.14203387863444042, 0.07893791140929905, 0.14394407578082466, 0.07943469662736667, 0.1476334669562875, 0.07201201473917325, 0.08855976409563968, 0.12730979412876214, 0.11195126966646103, 0.12302075658132644, 0.1611328514993942, 0.0876655962832849, 0.18715947932053834, 0.10203806648869607, 0.052848362219386026]"
A14Y0FPHPBKBAF,"[4.9498515129089355, 0.8006879091262817, 0.44311070442199707, 2.10793137550354, 4.9498515129089355, 0.0, 4.9498515129089355, 4.9498515129089355, 1.9886027574539185, 0.8006879091262817, 4.9498515129089355, 1.9886027574539185, 1.9250837564468384, 3.485128402709961, 0.35757726430892944, 2.246589183807373, 4.218795299530029, 4.9498515129089355, 2.9371304512023926, 2.6659653186798096, 0.0, 1.1542805433273315, 0.0, 0.0, 1.6648205518722534, 0.35757726430892944, 2.297213554382324, 4.9498515129089355, 0.0, 3.6703147888183594, 0.0, 0.35757726430892944, 4.9498515129089355, 3.4903135299682617, 1.008000135421753, 0.35757726430892944, 0.8810983300209045, 0.920734167098999, 0.0, 4.9498515129089355, 0.13315562673603, 0.09200668580006531, 0.07768441434298866, 0.14881349465132723, 0.1795762372240012, 0.12517923100000317, 0.19212812677399302, 0.18359586784918305, 0.13888378286744751, 0.06522090811459068, 0.05198640488361739, 0.0899412660632506, 0.050283695161703425, 0.11473276902492531, 0.1781070489743375, 0.19497443241908458, 0.10105427795780751, 0.12463422013031007, 0.17019259349806523, 0.11204006214275732, 0.12537241164841303, 0.0929250055235451, 0.08943201540473901, 0.13295091848440724, 0.17711163600814087, 0.11240657965695001, 0.04335341593711922, 0.08835737695557477, 0.17751468039561044, 0.18461063442495249, 0.11423500169039884, 0.1453083376150578, 0.1169461559280226, 0.18429368486746156, 0.1660362445442643, 0.08423060141149986, 0.13874318170546177, 0.08294501739567409, 0.059993285243168305, 0.0868844171642989]"
A14YENXHLKG9WL,"[2.3757083415985107, 0.0, 0.0, 4.209734916687012, 4.4805755615234375, 0.0, 2.3757083415985107, 2.104867458343506, -0.27084094285964966, 0.0, 4.209734916687012, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, -0.27084094285964966, 0.0, 0.0, 2.104867458343506, 2.3757083415985107, -0.27084094285964966, 0.0, 0.0, 0.0, -0.27084094285964966, 2.104867458343506, 0.11688116240177648, 0.09521228684860486, 0.13443889476606713, 0.18411947610505408, 0.07017375948286639, 0.13521559912959752, 0.08769728689141201, 0.1499744249711113, 0.1590912151847714, 0.10286464124199401, 0.16293418620893518, 0.06798231125061349, 0.13524121906464934, 0.08368174943587053, 0.13256989378276482, 0.14091106485150584, 0.07571696406376933, 0.1196136249372348, 0.12394113684807144, 0.1242258506214093, 0.052065035528843916, 0.1353455602079197, 0.0784883423326559, 0.16945317267180104, 0.06214168661989974, 0.10664540286589859, 0.10249617978206, 0.10470344178570372, 0.13545721062646224, 0.09505378732229669, 0.07410953022826146, 0.18254188322956164, 0.12060376560213894, 0.03992114373193549, 0.12444925596929787, 0.17259509771778117, 0.06466643010323099, 0.1502064631948771, 0.1733236579800077, 0.07854448761315012]"
